zestimate,low,high,1
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
413312,371981,458776,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
756733,718896,809704,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
593410,557805,623080,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
354706,326330,386630,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
458515,412664,495196,1
,,,0
440969,405691,471837,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
