Party,Result,Competition,Sex,twenty.percentile,median.income,eighty.percentile
Democrat,Loser,Yes,M,24200,63700,126200
Republican,Loser,Yes,M,35900,94800,167900
Democrat,Loser,Yes,F,41400,96300,155600
Republican,Winner,Yes,F,22600,54500,107400
Democrat,Winner,No,M,20000,54100,105500
Repubican,Winner,Yes,M,38500,86100,139800
Democrat,Loser,Yes,M,12300,39000,85700
Republican,Loser,Yes,M,20600,56500,107200
Democrat,Winner,Yes,M,27000,73800,146200
Democrat,Winner,No,F,24500,61600,114700
Democrat,Loser,Yes,M,26500,65000,119100
Democrat,Winner,No,F,69400,178800,250000
Democrat,Winner,No,M,28000,63000,119100
Democrat,Loser,Yes,F,32200,81200,164800
Democrat,Winner,No,M,28800,64700,125000
Republican,Winner,No,F,39700,86800,152700
Independent,Loser,Yes,M,35900,94800,167900
Republican,Loser,Yes,F,41400,96300,155600
Democrat,Winner,No,F,42900,86700,150900
Democrat,Winner,Yes,M,29400,71600,127800
Democrat,Loser,Yes,M,34800,87300,154900
Democrat,Winner,Yes,M,41400,96300,155600
Democrat,Winner,Write-In Style,F,36000,88500,156400
Democrat,Loser,Yes,F,32100,77000,151700
Democrat,Winner,No,M,38700,104500,205300
Democrat,Winner,No,M,36300,89700,158900
Democrat,Winner,Yes,M,45000,106300,195400
Democrat,Loser,Yes,M,10700,42000,143000
Democrat,Loser,Yes,M,14200,44800,103800
Democrat,Loser,Yes,M,21100,83400,161500
Democrat,Winner,No,M,17900,61700,140200
Democrat,Winner,Yes,F,25800,64900,125500
Democrat,Loser,Yes,M,16700,62700,134200
Democrat,Winner,Yes,M,10700,42000,143000
Democrat,Winner,Yes,M,24200,63700,126200
Republican,Loser,Yes,F,31000,79500,138600
Democrat,Winner,No,M,24900,63600,117400
Democrat,Winner,No,M,12300,30900,66100
Democrat,Loser,Yes,M,22800,52500,99000
Republican,Winner,Yes,M,26200,63200,122200
Republican,Winner,Yes,M,39800,87000,144800
Democrat,Winner,Yes,M,34000,83500,153900
Democrat,Winner,No,M,38900,95600,174000
Democrat,Loser,Yes,M,62500,146400,250000
Republican,Loser,Yes,M,16800,44200,93400
Democrat,Loser,Yes,F,44600,124000,250000
Democrat,Loser,Yes,F,30700,96400,191100
Democrat,Winner,No,M,22800,62500,128900
Democrat,Loser,Yes,F,28300,67000,81800
Republican,Winner,Yes,F,35900,77600,131400
Democrat,Loser,Yes,M,44600,124000,250000
Democrat,Loser,Yes,F,25800,64900,125500
Democrat,Loser,Yes,M,39800,87000,144800
Democrat,Loser,Write-In Style,M,36000,88500,156400
Democrat,Winner,Yes,M,16300,43400,89300
Republican,Loser,Yes,M,26800,67800,121700
Democrat,Loser,Yes,M,45800,100500,156800
Republican,Loser,Yes,M,31000,79500,138600
Democrat,Winner,No,M,20000,61100,114200
Democrat,Loser,Yes,M,12800,47500,113100
Democrat,Winner,No,F,7800,28100,70700
Democrat,Winner,No,M,16600,56600,108400
Democrat,Loser,Yes,M,14500,42400,92100
Democrat,Loser,Yes,F,24200,63700,126200
Democrat,Winner,No,M,22300,57100,118200
Democrat,Winner,No,M,12300,38800,91000
Democrat,Winner,No,M,27600,63000,114500
Republican,Winner,No,M,29100,69200,125100
Democrat,Winner,No,F,25400,56300,107100
Democrat,Winner,Yes,M,30700,96400,191100
Democrat,Winner,No,M,20700,47500,93100
Democrat,Winner,No,M,23400,58200,114500
Democrat,Loser,Yes,M,26500,65000,119100
Republican,Loser,Yes,F,38400,86500,161400
Republican,Winner,Yes,M,26500,59100,112000
Independent,Winner,Yes,F,21500,55800,103200
Democrat,Winner,No,M,13300,36100,71500
Democrat,Loser,Yes,F,26500,65000,119100
Republican,Winner,Yes,M,37600,89000,153600
Democrat,Loser,Yes,F,29800,70700,135100
Democrat,Winner,Yes,M,22500,58400,108600
