"","Recipient","AverageContribution","TotalAmount","test","totalcount","out.of.district"
"241","Steinhof, David",221.034482758621,6410,5,19,0.263157894736842
"242","Stewart, Mary Ann",387.619069767442,16667.62,19,35,0.542857142857143
"243","Stone, Rebecca",279.372037037037,30172.18,47,63,0.746031746031746
"244","Straus, William M.",232.687102803738,24897.52,14,82,0.170731707317073
"245","Strauss, Jean A.",226.333333333333,16975,21,35,0.6
"246","Sullivan, Alyson M.",358.253012048193,29735,14,58,0.241379310344828
"247","Sweeney, William J.",163.813559322034,9665,14,50,0.28
"248","Szynal, Diana M.",256,12800,27,44,0.613636363636364
"249","Tagliaferri, Kevin J.",180.530212765957,8484.92,12,28,0.428571428571429
"250","Tilden, Mark S.",350,700,1,1,1
"251","Tosado, Jose F.",241.40625,15450,8,44,0.181818181818182
"252","Tougas, Stephen F.",100,100,1,1,1
"253","Tribou, Christopher J.",81.7826086956522,3762,33,38,0.868421052631579
"254","Truschelli, Joseph M.",357.5,7150,8,13,0.615384615384615
"255","Tucker, Paul F.",230.729166666667,22150,19,80,0.2375
"256","Turnbull, Ture R.",141.966292134831,12635,10,58,0.172413793103448
"257","Tyler, Chynah",281.4125,11256.5,7,31,0.225806451612903
"258","Ultrino, Steven",92.3354838709677,14312,88,138,0.63768115942029
"259","Uong, Rithy",250.3025,5006.05,4,13,0.307692307692308
"260","Van Ness, Gretchen",115.981707317073,19021,22,96,0.229166666666667
"261","Vargas, Andres X.",127.994652406417,23935,33,135,0.244444444444444
"262","Vega, Aaron",109.345794392523,23400,72,130,0.553846153846154
"263","Velis, John Christopher",234.090909090909,7725,13,25,0.52
"264","Vieira, David T.",151.666666666667,4550,17,20,0.85
"265","Vincent, Roselee",253.846153846154,9900,7,30,0.233333333333333
"266","Vitolo, Thomas J.",313.975,25118,37,62,0.596774193548387
"267","Wagner, Joseph F.",320.076899696049,105305.3,49,247,0.198380566801619
"268","Walsh, Thomas P.",197.517704918033,12048.58,15,51,0.294117647058824
"269","Waring, Nathaniel G.",78.3590909090909,861.95,5,6,0.833333333333333
"270","Werder, Allison",235.978835978836,44600,117,156,0.75
"271","Whelan, Timothy R.",235.645933014354,49250,60,139,0.431654676258993
"272","Whipps, Susannah M.",246.551724137931,14300,37,43,0.86046511627907
"273","Williams, Bud L.",294.308943089431,36200,18,84,0.214285714285714
"274","Wisnewski, Francia E.",243.8,6095,5,14,0.357142857142857
"275","Wong, Donald H.",200.878086956522,23100.98,35,90,0.388888888888889
"276","Yarid Ferry, Lisa",302.5,6050,3,15,0.2
"277","Zlotnik, Jonathan David",148.691428571429,26021,113,141,0.801418439716312
