repDistrict,donorCount
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
121,137
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
134,698
